ID,ID_Nivel,Titulo,Descricao,Tipo_Recurso,URL,Duracao_Estimada_Min,Gratuito,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
REC031,NIV016,Enterprise Architecture as Strategy – Ross et al.,Recurso recomendado para a competência Arquitetura de processos e cadeia de valor.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 17 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC032,NIV016,Gartner BPM,Recurso recomendado para a competência Arquitetura de processos e cadeia de valor.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 17 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC033,NIV017,UiPath Academy (gratuito),Recurso recomendado para a competência Introdução a RPA.,Plataforma,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 18 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC034,NIV017,Automation Anywhere University,Recurso recomendado para a competência Introdução a RPA.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 18 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC035,NIV018,Coursera – Process Mining (TU/e),Recurso recomendado para a competência Process Mining.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 19 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC036,NIV018,Celonis Academy,Recurso recomendado para a competência Process Mining.,Ferramenta,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 19 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC037,NIV019,Fundamentos de Sistemas de Informação – O'Brien,Recurso recomendado para a competência Conceitos de arquitetura de sistemas.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 20 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC038,NIV019,Coursera – IBM IT Fundamentals,Recurso recomendado para a competência Conceitos de arquitetura de sistemas.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 20 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC039,NIV020,Cisco Networking Academy – IT Essentials,Recurso recomendado para a competência Redes e segurança básica.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 21 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC040,NIV020,Alura – Redes para Devs,Recurso recomendado para a competência Redes e segurança básica.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 21 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC041,NIV021,SAP Learning Hub – SAP S/4HANA Essentials (gratuito),Recurso recomendado para a competência Fundamentos de ERP.,Curso,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 22 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC042,NIV021,Udemy – SAP para Iniciantes,Recurso recomendado para a competência Fundamentos de ERP.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 22 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC043,NIV022,SAP Education – SAP S/4HANA (pago),Recurso recomendado para a competência Administração e configuração de ERP.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 23 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC044,NIV022,SAP ERP Financials – Narayanan Veeriah,Recurso recomendado para a competência Administração e configuração de ERP.,Livro,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 23 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC045,NIV023,Alura – APIs com Postman,Recurso recomendado para a competência Consumo de APIs REST.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 24 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC046,NIV023,Swagger/OpenAPI,Recurso recomendado para a competência Consumo de APIs REST.,Documentação,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 24 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC047,NIV024,Enterprise Integration Patterns – Hohpe,Recurso recomendado para a competência Integração de sistemas e ETL conceitual.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 25 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC048,NIV024,MuleSoft Training (gratuito),Recurso recomendado para a competência Integração de sistemas e ETL conceitual.,Curso,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 25 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC049,NIV025,Microsoft Learn – Azure Fundamentals (AZ-900),Recurso recomendado para a competência Fundamentos de Cloud (Azure/AWS/GCP).,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 26 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC050,NIV025,AWS Cloud Practitioner Essentials,Recurso recomendado para a competência Fundamentos de Cloud (Azure/AWS/GCP).,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 26 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC051,NIV026,Microsoft Learn – DP-900,Recurso recomendado para a competência Serviços de dados em Cloud.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 27 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC052,NIV026,Coursera – Google Cloud Data Engineering,Recurso recomendado para a competência Serviços de dados em Cloud.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 27 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC053,NIV027,Cloud Architecture Patterns – Wilder,Recurso recomendado para a competência Arquitetura de soluções em Cloud.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 28 do HEATMAP. A duração de 50h refere-se ao conteúdo completo, não individualmente a este recurso."
REC054,NIV027,AZ-305 / AWS Solutions Architect Professional,Recurso recomendado para a competência Arquitetura de soluções em Cloud.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 28 do HEATMAP. A duração de 50h refere-se ao conteúdo completo, não individualmente a este recurso."
REC055,NIV028,Coursera – IBM Cybersecurity Fundamentals,Recurso recomendado para a competência Segurança da informação – fundamentos.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 29 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC056,NIV028,Alura – Segurança da Informação,Recurso recomendado para a competência Segurança da informação – fundamentos.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 29 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC057,NIV029,Zero Trust Networks – Gilman,Recurso recomendado para a competência Arquitetura segura e controle de acesso.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 30 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC058,NIV029,Microsoft Learn – SC-900,Recurso recomendado para a competência Arquitetura segura e controle de acesso.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 30 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC059,NIV030,ISO 27001 Implementation Guide – IT Governance,Recurso recomendado para a competência ISO 27001 – Gestão de Segurança da Informação.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 31 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC060,NIV030,Udemy – ISO 27001 Lead Implementer,Recurso recomendado para a competência ISO 27001 – Gestão de Segurança da Informação.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 31 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC061,NIV031,LGPD Comentada – Cots & Oliveira,Recurso recomendado para a competência LGPD aplicada a sistemas e arquitetura.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 32 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC062,NIV031,FGV Online – LGPD para TI,Recurso recomendado para a competência LGPD aplicada a sistemas e arquitetura.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 32 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC063,NIV032,Microsoft – Row-Level Security,Recurso recomendado para a competência Row-Level Security e mascaramento de dados.,Docs,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 33 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC064,NIV032,Alura – Segurança em Power BI,Recurso recomendado para a competência Row-Level Security e mascaramento de dados.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 33 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC065,NIV033,PMBOK Guide 7ª ed. – PMI,Recurso recomendado para a competência Fundamentos de gerenciamento de projetos (PMBok).,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 34 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC066,NIV033,Coursera – Google Project Management,Recurso recomendado para a competência Fundamentos de gerenciamento de projetos (PMBok).,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 34 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC067,NIV034,Scrum Guide (gratuito),Recurso recomendado para a competência Métodos Ágeis – Scrum e Kanban.,Livro,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 35 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC068,NIV034,Alura – Scrum e Agile,Recurso recomendado para a competência Métodos Ágeis – Scrum e Kanban.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 35 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC069,NIV035,Data-Driven – DJ Patil,Recurso recomendado para a competência Gestão de projetos de dados e BI.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 36 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC070,NIV035,Udemy – Gestão de Projetos de BI,Recurso recomendado para a competência Gestão de projetos de dados e BI.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 36 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC071,NIV036,ITIL 4 Foundation – Axelos,Recurso recomendado para a competência ITIL 4 – Fundamentos.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 37 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC072,NIV036,Udemy – ITIL 4 Foundation Prep,Recurso recomendado para a competência ITIL 4 – Fundamentos.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 37 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC073,NIV037,COBIT 2019 – ISACA,Recurso recomendado para a competência Governança de TI e COBIT.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 38 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC074,NIV037,ISACA – COBIT Foundation,Recurso recomendado para a competência Governança de TI e COBIT.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 38 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC075,NIV038,Mode Analytics SQL Tutorial (gratuito),Recurso recomendado para a competência SQL básico.,Curso,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 39 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC076,NIV038,Alura – SQL com PostgreSQL,Recurso recomendado para a competência SQL básico.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 39 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC077,NIV039,Codecademy – Advanced SQL,Recurso recomendado para a competência SQL intermediário.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 40 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC078,NIV039,Learning SQL – Alan Beaulieu,Recurso recomendado para a competência SQL intermediário.,Livro,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 40 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC079,NIV040,SQL Performance Explained – Winand,Recurso recomendado para a competência SQL avançado e performance.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 41 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC080,NIV040,Udemy – Advanced SQL Tuning,Recurso recomendado para a competência SQL avançado e performance.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 41 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC081,NIV041,Curso em Vídeo – Python (gratuito),Recurso recomendado para a competência Python básico.,Curso,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 42 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC082,NIV041,Python Crash Course – Eric Matthes,Recurso recomendado para a competência Python básico.,Livro,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 42 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC083,NIV042,Kaggle – Pandas (gratuito),Recurso recomendado para a competência Análise de dados com Pandas e NumPy.,Curso,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 43 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC084,NIV042,Python for Data Analysis – Wes McKinney,Recurso recomendado para a competência Análise de dados com Pandas e NumPy.,Livro,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 43 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC085,NIV043,DataCamp – Data Visualization in Python,Recurso recomendado para a competência Visualização e automação com Python.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 44 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC086,NIV043,Alura – Python para BI,Recurso recomendado para a competência Visualização e automação com Python.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 44 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC087,NIV044,Hands-On ML – Aurélien Géron,Recurso recomendado para a competência Machine Learning aplicado a BI.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 45 do HEATMAP. A duração de 80h refere-se ao conteúdo completo, não individualmente a este recurso."
REC088,NIV044,Coursera – Machine Learning Specialization (Andrew Ng),Recurso recomendado para a competência Machine Learning aplicado a BI.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 45 do HEATMAP. A duração de 80h refere-se ao conteúdo completo, não individualmente a este recurso."
REC089,NIV045,Microsoft Learn – Power BI Fundamentals (gratuito),Recurso recomendado para a competência Power BI Desktop – básico.,Curso,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 46 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC090,NIV045,Alura – Power BI,Recurso recomendado para a competência Power BI Desktop – básico.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 46 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC091,NIV046,The Definitive Guide to DAX – Ferrari & Russo,Recurso recomendado para a competência DAX – Data Analysis Expressions.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 47 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC092,NIV046,SQLBI – Introducing DAX (gratuito),Recurso recomendado para a competência DAX – Data Analysis Expressions.,Curso,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 47 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC093,NIV047,SQLBI – Advanced DAX,Recurso recomendado para a competência Power BI avançado e arquitetura.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 48 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC094,NIV047,Udemy – Power BI Advanced,Recurso recomendado para a competência Power BI avançado e arquitetura.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 48 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC095,NIV048,Storytelling with Data – Cole Nussbaumer Knaflic,Recurso recomendado para a competência Princípios de design visual e escolha de gráficos.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 49 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC096,NIV048,Coursera – Data Visualization (Duke),Recurso recomendado para a competência Princípios de design visual e escolha de gráficos.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 49 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC097,NIV049,Storytelling with Data – Knaflic,Recurso recomendado para a competência Storytelling com dados.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 50 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC098,NIV049,The Big Picture – Steve Wexler,Recurso recomendado para a competência Storytelling com dados.,Livro,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 50 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC099,NIV050,Tableau eLearning (oficial),Recurso recomendado para a competência Ferramentas de dataviz – Tableau e Looker.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 51 do HEATMAP. A duração de 35h refere-se ao conteúdo completo, não individualmente a este recurso."
REC100,NIV050,Coursera – Data Visualization with Tableau,Recurso recomendado para a competência Ferramentas de dataviz – Tableau e Looker.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 51 do HEATMAP. A duração de 35h refere-se ao conteúdo completo, não individualmente a este recurso."
REC101,NIV051,Information Dashboard Design – Few,Recurso recomendado para a competência Dataviz estratégico e comunicação executiva.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 52 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC102,NIV051,DataCamp – Dashboard Design Best Practices,Recurso recomendado para a competência Dataviz estratégico e comunicação executiva.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 52 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC103,NIV052,The Data Warehouse Toolkit – Kimball,Recurso recomendado para a competência Conceitos de modelagem dimensional.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 53 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC104,NIV052,Udemy – Data Warehouse para BI,Recurso recomendado para a competência Conceitos de modelagem dimensional.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 53 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
